film_id,avg_rental_cost,avg_hours_rented,avg_hours_rental_allowed,category_id,language_id,hours_length,avg_replacement_cost,rating,description,special_features,actors_in_film,actor_list,total_actor_fame,total_actor_influence,num_rent
1,1.598696,119.4545,144.0,6,1,1.4333,20.99,PG,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,"{'Deleted Scenes', 'Behind the Scenes'}",10,"1,10,20,30,40,53,162,198,188,108",278.0,1108.0,23
2,7.561429,135.1667,72.0,11,1,0.8,12.99,G,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China,"{'Deleted Scenes', 'Trailers'}",4,"160,19,85,90",109.0,398.0,7
3,3.156667,82.75,168.0,6,1,0.8333,18.99,NC-17,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,"{'Deleted Scenes', 'Trailers'}",5,"64,2,19,24,123",136.0,541.0,12
4,3.99,113.6364,120.0,11,1,1.95,26.99,G,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,"{'Commentaries', 'Behind the Scenes'}",5,"41,81,88,147,162",141.0,543.0,23
5,4.323333,170.0,144.0,8,1,2.1667,22.99,G,A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico,{'Deleted Scenes'},5,"181,51,59,103,200",141.0,492.0,12
6,6.037619,140.6667,72.0,9,1,2.8167,17.99,PG,A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China,{'Deleted Scenes'},7,"197,62,169,21,23,108,137",216.0,798.0,21
7,5.523333,109.4667,144.0,5,1,1.0333,28.99,PG-13,A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat,"{'Deleted Scenes', 'Trailers'}",5,"99,133,162,170,185",135.0,554.0,15
8,5.712222,120.8889,144.0,11,1,0.9,15.99,R,A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India,{'Trailers'},4,"96,110,138,55",88.0,372.0,18
9,5.99,133.4167,72.0,11,1,1.9,21.99,PG-13,A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat,"{'Deleted Scenes', 'Trailers'}",9,"53,68,108,130,194,175,10,22,26",251.0,992.0,12
10,5.72913,114.5652,144.0,15,1,1.05,24.99,NC-17,A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China,"{'Deleted Scenes', 'Trailers'}",8,"29,35,37,188,64,117,142,157",235.0,887.0,23
11,1.49,119.875,144.0,9,1,2.1,16.99,G,A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention,"{'Commentaries', 'Behind the Scenes'}",4,"174,81,90,40",122.0,458.0,24
12,1.720769,126.6154,144.0,12,1,2.2667,22.99,PG,A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia,"{'Commentaries', 'Deleted Scenes'}",7,"37,75,146,177,180,105,109",200.0,790.0,26
