film_id,title,release_year,rating
1,ACADEMY DINOSAUR,2006,PG
2,ACE GOLDFINGER,2006,G
3,ADAPTATION HOLES,2006,NC-17
4,AFFAIR PREJUDICE,2006,G
5,AFRICAN EGG,2006,G
6,AGENT TRUMAN,2006,PG
7,AIRPLANE SIERRA,2006,PG-13
8,AIRPORT POLLOCK,2006,R
9,ALABAMA DEVIL,2006,PG-13
10,ALADDIN CALENDAR,2006,NC-17
11,ALAMO VIDEOTAPE,2006,G
12,ALASKA PHANTOM,2006,PG
13,ALI FOREVER,2006,PG
14,ALICE FANTASIA,2006,NC-17
15,ALIEN CENTER,2006,NC-17
16,ALLEY EVOLUTION,2006,NC-17
17,ALONE TRIP,2006,R
18,ALTER VICTORY,2006,PG-13
19,AMADEUS HOLY,2006,PG
20,AMELIE HELLFIGHTERS,2006,R
21,AMERICAN CIRCUS,2006,R
22,AMISTAD MIDSUMMER,2006,G
23,ANACONDA CONFESSIONS,2006,R
24,ANALYZE HOOSIERS,2006,R
25,ANGELS LIFE,2006,G
26,ANNIE IDENTITY,2006,G
27,ANONYMOUS HUMAN,2006,NC-17
28,ANTHEM LUKE,2006,PG-13
29,ANTITRUST TOMATOES,2006,NC-17
30,ANYTHING SAVANNAH,2006,R
31,APACHE DIVINE,2006,NC-17
32,APOCALYPSE FLAMINGOS,2006,R
33,APOLLO TEEN,2006,PG-13
34,ARABIA DOGMA,2006,NC-17
35,ARACHNOPHOBIA ROLLERCOASTER,2006,PG-13
36,ARGONAUTS TOWN,2006,PG-13
37,ARIZONA BANG,2006,PG
38,ARK RIDGEMONT,2006,NC-17
39,ARMAGEDDON LOST,2006,G
40,ARMY FLINTSTONES,2006,R
41,ARSENIC INDEPENDENCE,2006,PG
42,ARTIST COLDBLOODED,2006,NC-17
43,ATLANTIS CAUSE,2006,G
44,ATTACKS HATE,2006,PG-13
45,ATTRACTION NEWTON,2006,PG-13
46,AUTUMN CROW,2006,G
47,BABY HALL,2006,NC-17
48,BACKLASH UNDEFEATED,2006,PG-13
49,BADMAN DAWN,2006,R
50,BAKED CLEOPATRA,2006,G
51,BALLOON HOMEWARD,2006,NC-17
52,BALLROOM MOCKINGBIRD,2006,G
