payment_id,customer_id,staff_id,film_id,store_id,amount,amount,payment_id
1.0,1.0,1.0,663.0,2.0,2.99,,
2.0,1.0,1.0,875.0,2.0,0.99,,
3.0,1.0,1.0,611.0,1.0,5.99,,
4.0,1.0,2.0,228.0,2.0,0.99,,
5.0,1.0,2.0,308.0,1.0,9.99,,
6.0,1.0,1.0,159.0,1.0,4.99,,
7.0,1.0,1.0,44.0,1.0,4.99,,
8.0,1.0,2.0,766.0,1.0,0.99,,
9.0,1.0,1.0,997.0,1.0,3.99,,
10.0,1.0,2.0,316.0,2.0,5.99,,
11.0,1.0,1.0,764.0,1.0,5.99,,
12.0,1.0,1.0,814.0,2.0,4.99,,
13.0,1.0,1.0,174.0,1.0,4.99,,
14.0,1.0,1.0,294.0,1.0,7.99,,
15.0,1.0,2.0,539.0,1.0,2.99,,
16.0,1.0,1.0,243.0,2.0,4.99,,
17.0,1.0,2.0,929.0,1.0,4.99,,
18.0,1.0,1.0,341.0,2.0,0.99,,
19.0,1.0,2.0,982.0,1.0,0.99,,
20.0,1.0,2.0,22.0,1.0,2.99,,
21.0,1.0,2.0,480.0,1.0,2.99,,
22.0,1.0,2.0,3.0,2.0,4.99,,
23.0,1.0,2.0,709.0,2.0,3.99,,
24.0,1.0,1.0,315.0,2.0,0.99,,
25.0,1.0,2.0,579.0,1.0,4.99,,
26.0,1.0,1.0,204.0,2.0,0.99,,
27.0,1.0,2.0,663.0,1.0,0.99,,
28.0,1.0,2.0,490.0,1.0,2.99,,
29.0,1.0,1.0,924.0,1.0,0.99,,
30.0,1.0,1.0,317.0,2.0,1.99,,
31.0,1.0,2.0,317.0,1.0,2.99,,
32.0,1.0,1.0,70.0,1.0,5.99,,
33.0,2.0,1.0,243.0,1.0,4.99,,
34.0,2.0,1.0,78.0,1.0,2.99,,
35.0,2.0,1.0,895.0,1.0,2.99,,
36.0,2.0,1.0,606.0,1.0,6.99,,
37.0,2.0,2.0,162.0,2.0,4.99,,
38.0,2.0,1.0,109.0,1.0,5.99,,
39.0,2.0,2.0,446.0,1.0,5.99,,
40.0,2.0,2.0,421.0,2.0,5.99,,
41.0,2.0,1.0,136.0,1.0,2.99,,
42.0,2.0,2.0,879.0,2.0,5.99,,
43.0,2.0,1.0,518.0,2.0,4.99,,
44.0,2.0,2.0,878.0,2.0,10.99,,
45.0,2.0,2.0,303.0,2.0,0.99,,
46.0,2.0,2.0,891.0,1.0,6.99,,
47.0,2.0,2.0,678.0,1.0,6.99,,
48.0,2.0,1.0,690.0,1.0,2.99,,
49.0,2.0,1.0,27.0,1.0,0.99,,
50.0,2.0,1.0,748.0,2.0,0.99,,
51.0,2.0,1.0,142.0,1.0,5.99,,
52.0,2.0,1.0,254.0,1.0,6.99,,
53.0,2.0,2.0,447.0,1.0,2.99,,
54.0,2.0,1.0,175.0,2.0,2.99,,
55.0,2.0,1.0,331.0,2.0,2.99,,
56.0,2.0,1.0,694.0,2.0,4.99,,
57.0,2.0,2.0,999.0,1.0,5.99,,
58.0,2.0,2.0,471.0,1.0,4.99,,
59.0,2.0,2.0,637.0,2.0,4.99,,
60.0,3.0,1.0,732.0,1.0,1.99,,
61.0,3.0,1.0,759.0,2.0,2.99,,
62.0,3.0,1.0,854.0,2.0,8.99,,
63.0,3.0,1.0,23.0,1.0,6.99,,
64.0,3.0,2.0,202.0,1.0,6.99,,
65.0,3.0,1.0,855.0,1.0,2.99,,
66.0,3.0,1.0,371.0,1.0,4.99,,
67.0,3.0,1.0,447.0,1.0,4.99,,
68.0,3.0,1.0,563.0,2.0,5.99,,
69.0,3.0,2.0,126.0,2.0,10.99,,
70.0,3.0,2.0,464.0,2.0,7.99,,
71.0,3.0,2.0,77.0,1.0,6.99,,
72.0,3.0,1.0,86.0,1.0,4.99,,
73.0,3.0,2.0,263.0,1.0,4.99,,
74.0,3.0,1.0,717.0,2.0,2.99,,
75.0,3.0,1.0,940.0,1.0,1.99,,
76.0,3.0,2.0,366.0,1.0,3.99,,
77.0,3.0,1.0,621.0,1.0,2.99,,
78.0,3.0,2.0,995.0,1.0,4.99,,
79.0,3.0,2.0,725.0,1.0,5.99,,
80.0,3.0,2.0,433.0,1.0,4.99,,
81.0,3.0,1.0,711.0,2.0,8.99,,
82.0,3.0,2.0,555.0,1.0,2.99,,
83.0,3.0,2.0,312.0,2.0,8.99,,
84.0,3.0,2.0,367.0,2.0,0.99,,
85.0,3.0,1.0,540.0,1.0,2.99,,
86.0,4.0,1.0,239.0,2.0,4.99,,
87.0,4.0,1.0,63.0,1.0,0.99,,
88.0,4.0,2.0,42.0,2.0,2.99,,
89.0,4.0,2.0,19.0,2.0,0.99,,
90.0,4.0,2.0,547.0,2.0,0.99,,
91.0,4.0,1.0,448.0,1.0,5.99,,
92.0,4.0,1.0,958.0,1.0,2.99,,
93.0,4.0,2.0,784.0,2.0,2.99,,
94.0,4.0,1.0,35.0,2.0,3.99,,
95.0,4.0,1.0,895.0,1.0,5.99,,
96.0,4.0,1.0,653.0,1.0,5.99,,
97.0,4.0,2.0,11.0,2.0,0.99,,
98.0,4.0,1.0,939.0,2.0,2.99,,
99.0,4.0,2.0,676.0,1.0,4.99,,
100.0,4.0,1.0,431.0,2.0,2.99,,
101.0,4.0,2.0,543.0,1.0,8.99,,
102.0,4.0,2.0,26.0,2.0,1.99,,
103.0,4.0,1.0,740.0,2.0,2.99,,
104.0,4.0,1.0,837.0,2.0,6.99,,
105.0,4.0,2.0,219.0,1.0,4.99,,
106.0,4.0,1.0,559.0,2.0,2.99,,
107.0,4.0,2.0,728.0,1.0,1.99,,
108.0,5.0,1.0,896.0,2.0,0.99,,
109.0,5.0,1.0,68.0,1.0,6.99,,
110.0,5.0,1.0,870.0,2.0,1.99,,
111.0,5.0,1.0,722.0,2.0,3.99,,
112.0,5.0,2.0,539.0,1.0,2.99,,
113.0,5.0,2.0,941.0,2.0,4.99,,
114.0,5.0,2.0,245.0,2.0,2.99,,
115.0,5.0,2.0,263.0,2.0,4.99,,
116.0,5.0,2.0,131.0,1.0,4.99,,
117.0,5.0,2.0,975.0,2.0,2.99,,
118.0,5.0,1.0,408.0,2.0,4.99,,
119.0,5.0,2.0,213.0,1.0,5.99,,
120.0,5.0,2.0,91.0,2.0,1.99,,
121.0,5.0,2.0,511.0,1.0,0.99,,
122.0,5.0,1.0,465.0,2.0,8.99,,
123.0,5.0,1.0,951.0,2.0,3.99,,
124.0,5.0,2.0,314.0,1.0,4.99,,
125.0,5.0,2.0,733.0,1.0,0.99,,
126.0,5.0,2.0,18.0,2.0,0.99,,
127.0,5.0,2.0,22.0,1.0,3.99,,
128.0,5.0,1.0,6.0,1.0,2.99,,
129.0,5.0,1.0,155.0,2.0,1.99,,
130.0,5.0,1.0,333.0,1.0,4.99,,
131.0,5.0,1.0,962.0,1.0,3.99,,
132.0,5.0,2.0,568.0,1.0,4.99,,
133.0,5.0,1.0,663.0,2.0,0.99,,
134.0,5.0,2.0,810.0,1.0,4.99,,
135.0,5.0,1.0,956.0,1.0,4.99,,
136.0,5.0,2.0,286.0,2.0,3.99,,
137.0,5.0,1.0,763.0,2.0,9.99,,
138.0,5.0,1.0,349.0,2.0,2.99,,
139.0,5.0,1.0,266.0,1.0,1.99,,
140.0,5.0,2.0,743.0,2.0,0.99,,
141.0,5.0,2.0,470.0,1.0,6.99,,
142.0,5.0,1.0,575.0,2.0,6.99,,
143.0,5.0,2.0,37.0,1.0,2.99,,
144.0,5.0,2.0,12.0,1.0,0.99,,
