customer_id,staff_id,film_id,store_id,amount,payment_date,rental_date,return_date
1,1,663,2,2.99,2005-05-25 11:30:37,2005-05-25 11:30:37,2005-06-03 12:00:37
1,1,875,2,0.99,2005-05-28 10:35:23,2005-05-28 10:35:23,2005-06-03 06:32:23
1,1,611,1,5.99,2005-06-15 00:54:12,2005-06-15 00:54:12,2005-06-23 02:42:12
1,2,228,2,0.99,2005-06-15 18:02:53,2005-06-15 18:02:53,2005-06-19 15:54:53
1,2,308,1,9.99,2005-06-15 21:08:46,2005-06-15 21:08:46,2005-06-25 02:26:46
1,1,159,1,4.99,2005-06-16 15:18:57,2005-06-16 15:18:57,2005-06-17 21:05:57
1,1,44,1,4.99,2005-06-18 08:41:48,2005-06-18 08:41:48,2005-06-22 03:36:48
1,2,766,1,0.99,2005-06-18 13:33:59,2005-06-18 13:33:59,2005-06-19 17:40:59
1,1,997,1,3.99,2005-06-21 06:24:45,2005-06-21 06:24:45,2005-06-28 03:28:45
1,2,316,2,5.99,2005-07-08 03:17:05,2005-07-08 03:17:05,2005-07-14 01:19:05
1,1,764,1,5.99,2005-07-08 07:33:56,2005-07-08 07:33:56,2005-07-12 13:25:56
1,1,814,2,4.99,2005-07-09 13:24:07,2005-07-09 13:24:07,2005-07-14 14:01:07
1,1,174,1,4.99,2005-07-09 16:38:01,2005-07-09 16:38:01,2005-07-13 18:02:01
1,1,294,1,7.99,2005-07-11 10:13:46,2005-07-11 10:13:46,2005-07-19 13:15:46
1,2,539,1,2.99,2005-07-27 11:31:22,2005-07-27 11:31:22,2005-07-31 06:50:22
1,1,243,2,4.99,2005-07-28 09:04:45,2005-07-28 09:04:45,2005-07-30 12:37:45
1,2,929,1,4.99,2005-07-28 16:18:23,2005-07-28 16:18:23,2005-07-30 17:56:23
1,1,341,2,0.99,2005-07-28 17:33:39,2005-07-28 17:33:39,2005-07-29 20:17:39
1,2,982,1,0.99,2005-07-28 19:20:07,2005-07-28 19:20:07,2005-07-29 22:54:07
1,2,22,1,2.99,2005-07-29 03:58:49,2005-07-29 03:58:49,2005-08-01 05:16:49
1,2,480,1,2.99,2005-07-31 02:42:18,2005-07-31 02:42:18,2005-08-02 23:26:18
1,2,3,2,4.99,2005-08-01 08:51:04,2005-08-01 08:51:04,2005-08-10 12:12:04
1,2,709,2,3.99,2005-08-02 15:36:52,2005-08-02 15:36:52,2005-08-10 16:40:52
1,1,315,2,0.99,2005-08-02 18:01:38,2005-08-02 18:01:38,2005-08-04 13:19:38
1,2,579,1,4.99,2005-08-17 12:37:54,2005-08-17 12:37:54,2005-08-19 10:11:54
1,1,204,2,0.99,2005-08-18 03:57:29,2005-08-18 03:57:29,2005-08-22 23:05:29
1,2,663,1,0.99,2005-08-19 09:55:16,2005-08-19 09:55:16,2005-08-20 14:44:16
1,2,490,1,2.99,2005-08-19 13:56:54,2005-08-19 13:56:54,2005-08-23 08:50:54
1,1,924,1,0.99,2005-08-21 23:33:57,2005-08-21 23:33:57,2005-08-23 01:30:57
1,1,317,2,1.99,2005-08-22 01:27:57,2005-08-22 01:27:57,2005-08-27 07:01:57
1,2,317,1,2.99,2005-08-22 19:41:37,2005-08-22 19:41:37,2005-08-28 22:49:37
1,1,70,1,5.99,2005-08-22 20:03:46,2005-08-22 20:03:46,2005-08-30 01:51:46
2,1,243,1,4.99,2005-05-27 00:09:24,2005-05-27 00:09:24,2005-05-28 04:30:24
2,1,78,1,2.99,2005-06-17 20:54:58,2005-06-17 20:54:58,2005-06-24 00:41:58
2,1,895,1,2.99,2005-07-10 06:31:24,2005-07-10 06:31:24,2005-07-13 02:36:24
2,1,606,1,6.99,2005-07-10 12:38:56,2005-07-10 12:38:56,2005-07-19 17:02:56
2,2,162,2,4.99,2005-07-27 14:30:42,2005-07-27 14:30:42,2005-08-02 16:48:42
2,1,109,1,5.99,2005-07-27 15:23:02,2005-07-27 15:23:02,2005-08-04 10:35:02
2,2,446,1,5.99,2005-07-27 18:40:20,2005-07-27 18:40:20,2005-08-02 21:07:20
2,2,421,2,5.99,2005-07-29 00:12:59,2005-07-29 00:12:59,2005-08-06 19:52:59
2,1,136,1,2.99,2005-07-29 12:56:59,2005-07-29 12:56:59,2005-08-01 08:39:59
2,2,879,2,5.99,2005-07-29 17:14:29,2005-07-29 17:14:29,2005-08-02 16:01:29
2,1,518,2,4.99,2005-07-30 06:06:10,2005-07-30 06:06:10,2005-08-04 10:45:10
2,2,878,2,10.99,2005-07-30 13:47:43,2005-07-30 13:47:43,2005-08-08 18:52:43
2,2,303,2,0.99,2005-07-30 14:14:11,2005-07-30 14:14:11,2005-08-05 11:19:11
2,2,891,1,6.99,2005-07-30 16:21:13,2005-07-30 16:21:13,2005-08-08 11:57:13
2,2,678,1,6.99,2005-07-30 22:39:53,2005-07-30 22:39:53,2005-08-06 16:43:53
2,1,690,1,2.99,2005-07-31 21:58:56,2005-07-31 21:58:56,2005-08-03 19:44:56
2,1,27,1,0.99,2005-08-01 09:45:26,2005-08-01 09:45:26,2005-08-06 06:28:26
2,1,748,2,0.99,2005-08-02 02:10:56,2005-08-02 02:10:56,2005-08-02 21:23:56
2,1,142,1,5.99,2005-08-02 07:41:41,2005-08-02 07:41:41,2005-08-10 10:37:41
2,1,254,1,6.99,2005-08-02 10:43:48,2005-08-02 10:43:48,2005-08-10 10:55:48
2,2,447,1,2.99,2005-08-02 13:44:53,2005-08-02 13:44:53,2005-08-04 16:39:53
2,1,175,2,2.99,2005-08-17 03:52:18,2005-08-17 03:52:18,2005-08-20 07:04:18
2,1,331,2,2.99,2005-08-19 06:26:04,2005-08-19 06:26:04,2005-08-23 11:37:04
2,1,694,2,4.99,2005-08-21 13:24:32,2005-08-21 13:24:32,2005-08-27 08:59:32
2,2,999,1,5.99,2005-08-21 22:41:56,2005-08-21 22:41:56,2005-08-29 00:18:56
2,2,471,1,4.99,2005-08-22 13:53:04,2005-08-22 13:53:04,2005-08-31 15:51:04
2,2,637,2,4.99,2005-08-23 17:39:35,2005-08-23 17:39:35,2005-08-25 23:23:35
3,1,732,1,1.99,2005-05-27 17:17:09,2005-05-27 17:17:09,2005-06-02 11:20:09
3,1,759,2,2.99,2005-05-29 22:43:55,2005-05-29 22:43:55,2005-06-01 17:43:55
3,1,854,2,8.99,2005-06-16 01:34:05,2005-06-16 01:34:05,2005-06-24 04:27:05
3,1,23,1,6.99,2005-06-16 15:19:10,2005-06-16 15:19:10,2005-06-25 11:39:10
3,2,202,1,6.99,2005-06-17 05:15:15,2005-06-17 05:15:15,2005-06-24 11:05:15
3,1,855,1,2.99,2005-06-19 08:34:53,2005-06-19 08:34:53,2005-06-28 04:19:53
3,1,371,1,4.99,2005-07-07 10:23:25,2005-07-07 10:23:25,2005-07-10 13:18:25
3,1,447,1,4.99,2005-07-08 12:47:11,2005-07-08 12:47:11,2005-07-15 09:08:11
3,1,563,2,5.99,2005-07-27 04:54:42,2005-07-27 04:54:42,2005-08-03 01:42:42
3,2,126,2,10.99,2005-07-27 20:23:12,2005-07-27 20:23:12,2005-08-05 18:46:12
3,2,464,2,7.99,2005-07-28 03:59:21,2005-07-28 03:59:21,2005-08-05 08:52:21
3,2,77,1,6.99,2005-07-28 04:46:30,2005-07-28 04:46:30,2005-08-04 08:41:30
3,1,86,1,4.99,2005-07-28 11:46:45,2005-07-28 11:46:45,2005-07-29 07:19:45
3,2,263,1,4.99,2005-07-28 18:17:14,2005-07-28 18:17:14,2005-07-30 18:22:14
3,1,717,2,2.99,2005-07-29 11:07:04,2005-07-29 11:07:04,2005-08-06 13:30:04
3,1,940,1,1.99,2005-07-30 13:31:20,2005-07-30 13:31:20,2005-08-06 16:42:20
3,2,366,1,3.99,2005-07-30 21:45:46,2005-07-30 21:45:46,2005-08-05 21:22:46
3,1,621,1,2.99,2005-07-31 03:27:58,2005-07-31 03:27:58,2005-08-03 05:58:58
3,2,995,1,4.99,2005-07-31 11:32:58,2005-07-31 11:32:58,2005-08-04 17:12:58
3,2,725,1,5.99,2005-08-01 14:19:48,2005-08-01 14:19:48,2005-08-08 20:01:48
3,2,433,1,4.99,2005-08-18 14:49:55,2005-08-18 14:49:55,2005-08-24 15:20:55
3,1,711,2,8.99,2005-08-19 22:18:07,2005-08-19 22:18:07,2005-08-27 19:23:07
3,2,555,1,2.99,2005-08-20 06:14:12,2005-08-20 06:14:12,2005-08-26 00:44:12
3,2,312,2,8.99,2005-08-21 20:50:48,2005-08-21 20:50:48,2005-08-29 18:08:48
3,2,367,2,0.99,2005-08-22 09:37:27,2005-08-22 09:37:27,2005-08-23 14:39:27
3,1,540,1,2.99,2005-08-23 07:10:14,2005-08-23 07:10:14,2005-08-26 07:21:14
4,1,239,2,4.99,2005-06-15 09:31:28,2005-06-15 09:31:28,2005-06-19 04:33:28
4,1,63,1,0.99,2005-06-16 08:08:40,2005-06-16 08:08:40,2005-06-17 11:12:40
4,2,42,2,2.99,2005-06-16 14:01:27,2005-06-16 14:01:27,2005-06-18 09:35:27
4,2,19,2,0.99,2005-06-16 15:51:52,2005-06-16 15:51:52,2005-06-20 13:27:52
4,2,547,2,0.99,2005-06-17 14:31:12,2005-06-17 14:31:12,2005-06-19 11:04:12
4,1,448,1,5.99,2005-06-19 09:39:01,2005-06-19 09:39:01,2005-06-25 08:33:01
4,1,958,1,2.99,2005-07-28 02:10:10,2005-07-28 02:10:10,2005-07-30 04:29:10
4,2,784,2,2.99,2005-07-28 04:37:59,2005-07-28 04:37:59,2005-07-29 09:20:59
4,1,35,2,3.99,2005-07-29 18:44:57,2005-07-29 18:44:57,2005-08-03 18:25:57
4,1,895,1,5.99,2005-07-30 08:46:09,2005-07-30 08:46:09,2005-08-05 10:34:09
4,1,653,1,5.99,2005-07-30 18:58:00,2005-07-30 18:58:00,2005-08-03 15:14:00
4,2,11,2,0.99,2005-08-02 07:09:34,2005-08-02 07:09:34,2005-08-08 08:39:34
4,1,939,2,2.99,2005-08-02 08:20:31,2005-08-02 08:20:31,2005-08-04 05:06:31
4,2,676,1,4.99,2005-08-17 00:28:01,2005-08-17 00:28:01,2005-08-19 04:47:01
4,1,431,2,2.99,2005-08-18 00:14:03,2005-08-18 00:14:03,2005-08-18 23:52:03
4,2,543,1,8.99,2005-08-18 05:14:44,2005-08-18 05:14:44,2005-08-27 01:32:44
4,2,26,2,1.99,2005-08-19 02:19:13,2005-08-19 02:19:13,2005-08-23 07:49:13
4,1,740,2,2.99,2005-08-20 09:32:04,2005-08-20 09:32:04,2005-08-23 14:29:04
4,1,837,2,6.99,2005-08-20 12:55:40,2005-08-20 12:55:40,2005-08-28 09:06:40
4,2,219,1,4.99,2005-08-21 04:53:37,2005-08-21 04:53:37,2005-08-25 23:39:37
